index,Final Avg,Final Exam Avg,HW Avg,TC Avg,ig Avg,metrology Avg,ng Avg,sootv Avg,stand Avg,termodin Avg,БП Avg,ДЗ Avg,ДР Avg,Дз1 Avg,Дз2 Avg,З Avg,ИЗ Avg,ИТ Avg,КЗ Avg,ПЗ Avg,Практ Avg,РТ Avg,Т Avg,ТЗ Avg,Тест Avg,УЗ Avg
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06318960089356551,0.0,0.0,0.0,0.0,0.0,0.004105424111600087,0.0,0.01587637987722701,0.04951799897719411
1,0.11982035583187667,0.0,0.0,0.12886875751099325,0.0,0.2502607250893334,0.021673791796047226,0.21842764781109736,0.21061659095150276,0.0,0.0860639082460466,0.05358534854946129,0.0,0.0,0.0,0.08579711677646173,0.047714449778268886,0.1801981224825795,0.0,0.0,0.05773409805220808,0.0,0.12851773744895922,0.0,0.006252497582920569,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.015101427677961965,0.0,0.0,0.0,0.0,0.0,0.01184061980349238,0.0,0.0,0.0,0.0,0.10438720152865244,0.0,0.0,0.0,0.0,0.011080616809067578,0.016100034679297437,0.0,0.012385744435050583
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42520751780843113,0.3675066106503948,0.0,0.0,0.0,0.0,0.0,0.07390175553655354,0.0,0.0,0.0,0.0,0.3987308997917296,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011221959894982092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025230457429728403,0.0,0.008917675012071413,0.0
5,0.0,0.0,0.0,0.04411833812266508,0.0,0.0,0.0,0.0,0.0,0.0,0.4017707222106708,0.4209337780714293,0.0,0.0,0.0,0.0,0.0,0.04916246251809753,0.0,0.0,0.012448690227415682,0.0,0.45494093123821244,0.0,0.0,0.0
6,0.08194427568179208,0.06427060536691442,0.0,0.18564705916939772,0.0,0.21097993387058978,0.01930830299193076,0.15195943730304862,0.16864600878662372,0.0,0.0,0.028234548702556594,0.0,0.0,0.0,0.16338281172932057,0.0,0.25449424883163374,0.0,0.0,0.0,0.0,0.08584838618901358,0.0,0.0,0.0
7,0.0,0.0,0.0,0.03428453160969269,0.0,0.0,0.0,0.02749865346271463,0.0,0.0,0.10789975865770884,0.16761036664195217,0.0,0.0,0.0,0.0,0.05841714629181638,0.26865173875239634,0.0,0.0,0.02093699088047174,0.0,0.1955573974031779,0.0,0.0,0.0
8,0.4934749279240691,0.0,0.0,0.01013556959951245,0.0,0.42212207927849477,0.00929537966510452,0.3748256648445363,0.34246190897607676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10955862590945031,0.0,0.0,0.052305710415737394,0.03290932605958119,0.0,0.0,0.036525716189032664,0.05620828490992835,0.07805444175528464
9,0.0,0.08870369987147342,0.0,0.005221863169403207,0.0,0.0,0.011795070594757817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08486564948418618,0.0,0.0,0.0,0.1323900210014699,0.03887463834604432,0.0,0.0,0.0,0.06662120107029068,0.0
